wkt_geom,Ident,Localites,XX_x,YY_x,village,centre,Condition,Mais_prod,Riz_prod,IDENT_1,XX_y,YY_y,Infrastruc,capacite,X,Y
Point (-12.37990685010959879 12.51282276770241531),78,Ibel,784761,1384673,c,Ibel,d?ficit,210,40,,,,Magasin autre partenur,200,-12.37990685,12.51282277
Point (-12.33689196498801621 12.51855307366536252),79,Boundou Condi,789413,1385407,c,Boundou Condi,,,,,,,Magasin autre partenur,40,-12.33689197,12.51855307
Point (-12.36308796202057891 12.52920926099690035),0,Patassi,786572,1386505,c,Patassi,,,,,,,Magasin autre partenur,60,-12.36308796,12.52920926
Point (-12.27606461228003987 12.53496966481353425),,Habibou,,,c,Habibou,,,,,,,,0,-12.27606461,12.53496967
Point (-12.26876152329354319 12.53604864793441287),,Itato,,,c,Itato,,,,,,,Magasin P2RS,60,-12.26876152,12.53604865
Point (-12.31020258225743547 12.53917335383611942),0,Bandafassi,792312,1387666,c,Bandafassi,,,,,792271.6182,1387608.413,Magasin Sonacos,220,-12.31020258,12.53917335
Point (-12.27079438470980222 12.54313127404134676),87,Silling,796603,1387840,c,Silling,,,,,,,,0,-12.27079439,12.54313127
Point (-12.37003303569655799 12.55433861835320997),88,Landieni Peulh,785789,1389279,c,Landieni Peulh,d?ficit sans magasin,,,,,,,0,-12.37003304,12.55433862
Point (-12.32248857254015739 12.59060846629157204),,Santacko,,,c,Santacko,,,,,,,,0,-12.32248857,12.59060847
Point (-12.12963148129130353 12.60542016895225892),97,Samecouta,811593,1395178,c,Samecouta,,,,,,,Magasin autre partenur,60,-12.12963148,12.60542017
Point (-12.40760527160604987 12.60619253253131156),10,Hamadi Heri,781647,1394978,c,Hamadi Heri,d?ficit,,,,,,,0,-12.40760527,12.60619253
Point (-12.41678775310294114 12.63458341347122627),16,Thiabedji,780737,1398211,c,Thiabedji,,,,,,,Magasin autre partenur,40,-12.41678775,12.63458341
Point (-12.12607046052334248 12.6430692827308917),104,Syllacounda Diakha,812415,1399485,c,Syllacounda Diakha,,,,,,,,0,-12.12607046,12.64306928
