Ident,Localites,XX,YY,village,satellite,capacite,X,Y
249.0000000000,Boulembou,572501.0000000000,1502893.0000000000,c,Boulembou,100.0000000000,-14.3298114870,13.5937094780
285.0000000000,Diyabougou,585344.0000000000,1508874.0000000000,c,Diyabougou,0.0000000000,-14.2109207560,13.6474386450
294.0000000000,Fadyacounda,590975.0000000000,1509692.0000000000,c,Fadyacounda,5.0000000000,-14.1588349240,13.6546635020
307.0000000000,Maka (Station Marabout,577229.0000000000,1510559.0000000000,cl,,0.0000000000,-14.2859007830,13.6629007460
332.0000000000,Sinthiou Samba Ndao,585549.0000000000,1515636.0000000000,c,Sinthiou Samba Ndao,0.0000000000,-14.2088213350,13.7085703390
33.0000000000,Sare Ely,589821.0000000000,1496225.0000000000,c,Sare Ely,0.0000000000,-14.1699281320,13.5329397070
37.0000000000,Pakeba,569305.0000000000,1498287.0000000000,c,Pakeba,0.0000000000,-14.3606005500,13.5522041960
43.0000000000,Sao Soucouta,569310.0000000000,1502028.0000000000,c,Sao Soucouta,0.0000000000,-14.3588838430,13.5875437440
44.0000000000,Sankabary Bakary,585925.0000000000,1502540.0000000000,c,Sankabary Bakary,0.0000000000,-14.2075831710,13.5866743490
46.0000000000,Yorodonde Kounda,580875.0000000000,1504061.0000000000,c,Yorodonde Kounda,0.0000000000,-14.2523747670,13.6040497860
52.0000000000,Sitakourou Mandingue,571603.0000000000,1507168.0000000000,c,Sitakourou Mandingue,0.0000000000,-14.3380046090,13.6323848210
58.0000000000,Maka Village,576621.0000000000,1510454.0000000000,cl,Maka,40.0000000000,-14.2915251950,13.6619675040
59.0000000000,Maka Escale,577016.0000000000,1510902.0000000000,cl,Maka,260.0000000000,-14.2878608710,13.6660076570
0.0000000000,Diangoulore,574073.6947399999,1488864.7285000000,c,Diangoulore,0.0000000000,-14.3156368320,13.4668306480
